2023-05-14 13:07:20	[ INFO	]	[root]	14217	main	0		raft_cluster/raft_server_1.cpp:355	lookup name=raft_server already exist
[0m2023-05-14 13:07:20	[ INFO	]	[Raft-Server]	14224	main_1	2		source/raft/raft_server.cpp:39	Raft server heartbeat timeout changed from 5000 to 1500
[0m2023-05-14 13:07:20	[ INFO	]	[Raft-Server]	14224	main_1	2		source/raft/raft_server.cpp:43	Raft server rand maxtime changed from 10000 to 3000
[0m2023-05-14 13:07:20	[ INFO	]	[Raft-Server]	14224	main_1	2		source/raft/raft_server.cpp:50	PrepareVote open!
[0m2023-05-14 13:07:20	[ INFO	]	[Raft-Server]	14224	main_1	2		source/raft/raft_server.cpp:64	Check Qurom not open!
[0m2023-05-14 13:07:20	[ INFO	]	[system]	14224	main_1	2		source/net/tcp_server.cpp:56	Server name=kv-server bind:[socket sock=10 isConnected=0 family=2 type=1 protocol=0 localAddress=127.0.0.1:6001] success
[0m[31m2023-05-14 13:07:20	[ ERROR	]	[system]	14225	main_2	2		source/net/socket.cpp:153	sock=11 connect(127.0.0.1:8001) error, errno=111 errstr=Connection refused
[0m[31m2023-05-14 13:07:20	[ ERROR	]	[system]	14223	main_0	2		source/net/socket.cpp:153	sock=11 connect(127.0.0.1:8002) error, errno=111 errstr=Connection refused
[0m[31m2023-05-14 13:07:20	[ ERROR	]	[system]	14225	main_2	2		source/net/socket.cpp:153	sock=11 connect(127.0.0.1:8003) error, errno=111 errstr=Connection refused
[0m[34m2023-05-14 13:07:20	[ DEBUG	]	[root]	14223	main_0	6		source/raft/raft_server.cpp:1036	fd 11
[0m2023-05-14 13:07:20	[ INFO	]	[system]	14225	main_2	2		source/net/tcp_server.cpp:56	Server name=Raft-Server bind:[socket sock=12 isConnected=0 family=2 type=1 protocol=0 localAddress=127.0.0.1:8001] success
[0m[34m2023-05-14 13:07:20	[ DEBUG	]	[system]	14224	main_1	2		source/net/tcp_server.cpp:75	TcpServer::start()
[0m[34m2023-05-14 13:07:20	[ DEBUG	]	[system]	14224	main_1	2		source/net/tcp_server.cpp:75	TcpServer::start()
